team_id,starter_0,starter_1,starter_2,starter_3,starter_4,starter_5,starter_6,starter_7
31,35087,39,31203,18307,30428,35087,39,31203
32,32810,30922,26787,32804,28374,32810,30922,26787
33,31541,32376,31627,30317,25611,31541,32376,31627
34,19161,28965,27707,30337,31491,19161,28965,27707
35,18523,34245,32800,6,1119,18523,34245,32800
36,18580,32480,32227,18646,31041,18580,32480,32227
37,19525,35356,37847,29844,22362,19525,35356,37847
38,31540,21046,19237,32382,23585,31540,21046,19237
39,9,31913,31007,36246,34119,9,31913,31007
40,32363,34297,23278,716,23198,32363,34297,23278
41,25376,32560,35329,34883,34302,25376,32560,35329
42,25142,418,18406,21424,29752,25142,418,18406
43,28475,25548,35442,32327,34301,28475,25548,35442
44,32847,31240,35376,23428,30011,32847,31240,35376
45,35139,34642,21460,36862,36910,35139,34642,21460
46,657,28156,32334,37891,25438,657,28156,32334
47,32903,30307,25018,29876,25059,32903,30307,25018
48,31241,14406,36868,18848,19148,31241,14406,36868
49,30533,33682,30305,30323,30563,30533,33682,30305
50,33496,32419,26091,33962,34276,33496,32419,26091
51,23697,30924,32233,19,26192,23697,30924,32233
52,25219,23200,34197,30333,31371,25219,23200,34197
53,30324,24483,26789,20158,33930,30324,24483,26789
54,18494,34232,25953,36865,32437,18494,34232,25953
55,25479,31724,19106,30338,79,25479,31724,19106
56,1179,34836,256,32818,30236,1179,34836,256
57,19065,32289,38436,28380,31565,19065,32289,38436
58,18522,31261,26307,21901,28624,18522,31261,26307
59,30740,18631,29600,18886,1131,30740,18631,29600
60,19111,18573,25977,30007,31916,19111,18573,25977
85,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0
157,32309,39088,30335,34981,34147,32309,39088,30335
158,34325,45,25762,37653,1755,34325,45,25762
159,31170,172,32809,484,27413,31170,172,32809
160,34627,21968,35500,36171,1196,34627,21968,35500
161,33663,21933,31563,27397,36840,33663,21933,31563
162,33054,139,31654,27342,33803,33054,139,31654
163,20557,33979,833,1122,34986,20557,33979,833
164,38567,21531,34474,35653,34649,38567,21531,34474
165,20519,20873,34188,21752,1124,20519,20873,34188
166,1256,36083,33768,1118,26600,1256,36083,33768
167,33345,18385,32774,25656,31781,33345,18385,32774
168,32417,25416,21515,644,30619,32417,25416,21515
169,38378,32812,32919,37779,29815,38378,32812,32919
170,32126,38663,39620,23841,33225,32126,38663,39620
171,36399,23424,39637,1255,32832,36399,23424,39637
172,35818,30507,20248,37795,21984,35818,30507,20248
173,33367,34107,34651,38661,35958,33367,34107,34651
174,13,186,35102,31966,1129,13,186,35102
175,713,32476,38526,190,21010,713,32476,38526
176,22562,38896,20515,22756,34003,22562,38896,20515
177,33059,26413,19058,18372,20522,33059,26413,19058
178,1638,483,19590,39010,20411,1638,483,19590
179,27265,27566,34925,39073,37111,27265,27566,34925
180,34371,22499,35591,33543,32291,34371,22499,35591
181,32601,31876,23817,43,32895,32601,31876,23817
182,35747,35627,34100,1114,38878,35747,35627,34100
183,35185,23867,37,35372,29331,35185,23867,37
184,21540,27410,21455,302,34362,21540,27410,21455
185,20862,31337,34738,30238,31914,20862,31337,34738
186,34353,32153,21508,569,34528,34353,32153,21508
187,21432,21888,21413,35200,27046,21432,21888,21413
188,1296,20157,27272,1126,33529,1296,20157,27272
189,21242,24516,21711,35451,34732,21242,24516,21711
190,39796,38856,32575,1633,1890,39796,38856,32575
191,36734,408,36348,21225,34413,36734,408,36348
192,33971,21020,37437,34242,24710,33971,21020,37437
193,20528,1423,669,24592,33597,20528,1423,669
194,18563,1014,1836,34811,920,18563,1014,1836
195,31458,40312,39040,34291,35803,31458,40312,39040
196,27010,39015,35090,38517,21467,27010,39015,35090
197,35477,31646,34488,21218,39832,35477,31646,34488
198,21529,21585,38229,39514,33732,21529,21585,38229
199,19462,36579,21035,21457,32848,19462,36579,21035
200,19456,34555,20890,39463,34170,19456,34555,20890
201,39435,21546,21647,1378,35019,39435,21546,21647
202,28912,19338,23347,21626,21132,28912,19338,23347
203,37336,35523,36507,35813,1851,37336,35523,36507
204,36108,20612,27096,18826,1626,36108,20612,27096
205,39563,998,23,21501,27280,39563,998,23
206,1272,20581,34768,34253,30741,1272,20581,34768
207,1736,1181,31561,38469,34096,1736,1181,31561
208,34037,27090,32889,38749,21363,34037,27090,32889
209,34432,35221,40590,35274,21479,34432,35221,40590
210,34292,34369,24086,150,38303,34292,34369,24086
211,22675,20722,34167,35946,20531,22675,20722,34167
212,36139,32316,39166,25931,24561,36139,32316,39166
213,4217,38319,19455,34807,24025,4217,38319,19455
214,21641,35781,20875,19231,1112,21641,35781,20875
215,24289,26684,37827,39469,38919,24289,26684,37827
216,1728,38109,34415,21249,1167,1728,38109,34415
218,32870,24633,34516,24833,9164,24633,32870,34516
219,25919,20891,36544,24840,39570,25919,20891,36544
220,34645,1257,24916,39760,27541,34645,1257,24916
221,25575,24159,34246,40579,38745,25575,24159,34246
223,1572,230,37994,30090,20546,1572,230,37994
224,21651,27869,24065,39470,21448,21651,27869,24065
225,39437,39350,19309,39235,25247,39437,39350,19309
226,40719,22916,25177,26877,39177,40719,22916,25177
227,34896,40103,27607,20152,1064,34896,40103,27607
228,27871,38236,1313,20523,20455,27871,38236,1313
229,21026,36330,37566,24912,1203,21026,36330,37566
230,19451,1664,24664,24999,40106,19451,1664,24664
231,34311,21347,1998,1311,210,34311,21347,1998
232,1963,35021,34273,1197,34372,1963,35021,34273
233,1116,23904,24039,28025,38077,1116,23904,24039
234,38696,36367,25040,39612,767,38696,36367,25040
236,1915,27819,34524,40613,2056,1915,27819,34524
237,1629,1070,11,24650,21511,1629,1070,11
238,35680,20733,1769,25066,27323,35680,20733,1769
239,2076,35179,23821,21755,33472,2076,35179,23821
240,19552,40252,20910,25013,208,19552,40252,20910
241,20809,39513,37772,20729,25889,20809,39513,37772
242,20671,37783,22513,41690,39699,20671,37783,22513
243,1840,27578,88,23811,23906,1840,27578,88
244,1069,429,1215,24285,36536,1069,429,1215
245,39481,20113,23977,1235,38054,39481,20113,23977
246,24809,21082,20164,40093,593,24809,21082,20164
247,22119,38368,2017,41717,34168,22119,38368,2017
248,27324,21185,23064,21701,1430,27324,21185,23064
249,1807,2004,24211,27867,23221,1807,2004,24211
250,38746,1767,19986,40662,22828,38746,1767,19986
251,36401,20254,1310,27267,473,36401,20254,1310
252,231,1263,41732,277,26879,231,1263,41732
253,37946,23853,38673,216,39960,37946,23853,38673
254,37354,464,22071,40617,25994,37354,464,22071
255,24417,1651,24715,20564,22115,24417,1651,24715
256,37492,24696,39354,35980,21148,37492,24696,39354
257,21735,2016,27138,40685,27392,21735,2016,27138
258,39583,42204,39663,24261,28298,39583,42204,39663
259,221,19201,22736,34460,28051,221,19201,22736
260,21137,27761,1699,38159,1200,21137,27761,1699
261,19333,20852,27327,20292,36662,19333,20852,27327
262,38810,20844,19863,2094,38740,38810,20844,19863
263,37610,37800,1605,24858,37368,37610,37800,1605
264,20777,25902,1570,1138,36425,20777,25902,1570
265,39820,27049,34562,20285,27092,39820,27049,34562
266,36607,24828,22813,21174,41240,36607,24828,22813
267,26794,27291,21469,40676,24672,26794,27291,21469
268,41734,27701,23124,20550,42413,41734,27701,23124
269,35213,25392,25632,1541,25763,35213,25392,25632
270,37861,1143,24915,38266,20713,37861,1143,24915
271,26656,40785,1720,41803,35216,26656,40785,1720
272,24706,1529,41763,38575,1223,24706,1529,41763
273,2110,25007,27391,25036,24461,2110,25007,27391
274,27461,25650,26273,23976,25343,27461,25650,26273
275,27276,23809,34423,38004,1928,27276,23809,34423
276,34408,1798,24251,396,20782,34408,1798,24251
277,39818,27495,38543,1375,39809,39818,27495,38543
278,21742,37985,1812,20469,1168,21742,37985,1812
279,35403,24589,41884,20589,40095,35403,24589,41884
280,21177,40314,24728,485,38194,21177,40314,24728
281,27870,38357,19486,34384,27373,27870,38357,19486
282,27903,23062,1662,20578,38679,27903,23062,1662
283,40109,42543,40161,1975,19568,40109,42543,40161
284,39751,21024,23979,24275,12802,39751,21024,23979
285,40598,41683,38285,43321,43583,40598,41683,38285
286,22203,38207,1724,1969,28149,22203,38207,1724
287,42432,24078,42398,386,1682,42432,24078,42398
288,40266,23855,42400,43404,21237,40266,23855,42400
289,41826,42019,42451,42007,41954,41826,42019,42451
290,39993,27511,520,41923,20665,39993,27511,520
291,25922,41974,25034,41882,43313,25922,41974,25034
292,19725,40247,41728,38811,1302,19725,40247,41728
293,27401,23187,268,1670,21121,27401,23187,268
294,26191,34750,42224,24421,19835,26191,34750,42224
295,34113,23825,39362,1826,25006,34113,23825,39362
296,23076,39368,1895,1290,21937,23076,39368,1895
297,40086,27451,1303,40654,27305,40086,27451,1303
298,586,38349,19579,24580,41122,586,38349,19579
299,1328,40626,25419,28143,24220,1328,40626,25419
300,21801,40239,24076,24269,24277,21801,40239,24076
301,40207,41759,43383,43426,347,40207,41759,43383
302,40112,40558,22777,23900,1841,40112,40558,22777
303,42714,18391,39650,41507,1692,42714,18391,39650
304,27805,41739,24286,1393,40823,27805,41739,24286
305,28136,41687,40650,25253,42390,28136,41687,40650
306,23061,40087,38253,19595,40208,23061,40087,38253
307,41757,41415,41912,41821,41950,41757,41415,41912
308,22541,40660,40766,489,39727,22541,40660,40766
309,38936,27472,1561,42410,39346,38936,27472,1561
310,24726,25414,27951,39773,23257,24726,25414,27951
312,42710,852,23073,39379,27420,42710,852,23073
313,34553,28882,41927,40248,24610,34553,28882,41927
314,38028,38510,40044,19731,1625,38028,38510,40044
315,40625,41065,26878,39638,1421,40625,41065,26878
316,27769,41767,1429,27320,40335,27769,41767,1429
317,41773,22020,22923,1597,27492,41773,22020,22923
318,24713,40287,1702,39386,38823,24713,40287,1702
319,2100,27446,40241,38860,41968,2100,27446,40241
320,24050,39608,40114,39963,20885,24050,39608,40114
322,25602,28392,40742,19320,20848,25602,28392,40742
323,25594,41772,40300,40199,40302,25594,41772,40300
324,40153,24074,40341,40930,41134,40153,24074,40341
325,1679,19999,22717,22720,40595,1679,19999,22717
326,42727,41850,1837,34725,1934,42727,41850,1837
327,1447,41743,41691,25890,21090,1447,41743,41691
328,25772,23048,26248,23149,41024,25772,23048,26248
329,25582,19838,24659,20600,20506,25582,19838,24659
330,40552,19599,28389,41839,40967,40552,19599,28389
331,27963,28223,40602,92,27605,27963,28223,40602
332,27829,25547,41870,23857,20403,27829,25547,41870
333,40100,20405,24732,39589,42217,40100,20405,24732
334,41735,2068,27795,20069,19434,41735,2068,27795
335,40096,40162,41867,25226,27427,40096,40162,41867
336,40242,20417,19853,23905,19837,40242,20417,19853
337,21191,1926,1911,1458,19252,21191,1926,1911
338,1204,28388,40829,25631,41192,1204,28388,40829
339,24881,40291,40262,20521,38444,24881,40291,40262
340,25043,40730,1454,25783,1573,25043,40730,1454
343,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0
361,23662,41012,25910,23218,25888,23662,41012,25910
403,27125,40281,20343,41321,28085,27125,40281,20343
404,24872,23072,350,39479,41238,24872,23072,350
405,403,24996,20742,27126,40907,403,24996,20742
406,39577,42477,24926,41818,40336,39577,42477,24926
408,25341,25130,40059,41000,41483,25341,25130,40059
409,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0
584,41289,40891,41231,41436,20047,41289,40891,41231
585,41056,39507,39396,18695,43443,41056,39507,39396
586,40881,19476,1666,23718,41126,40881,19476,1666
587,42471,41601,39957,27730,23329,42471,41601,39957
588,22111,40735,40737,23229,19467,22111,40735,40737
589,40857,40738,27807,23252,40763,40857,40738,27807
590,22505,43029,40760,19582,40908,22505,43029,40760
591,23014,20212,19488,42987,43424,23014,20212,19488
592,23133,41511,41006,41521,41468,23133,41511,41006
593,36942,25892,22800,40747,39428,36942,25892,22800
594,24839,22390,32466,41539,23352,24839,22390,32466
595,1550,40002,40771,42713,43132,1550,40002,40771
596,21067,1478,26385,38135,35014,21067,1478,26385
597,41356,22409,19813,23730,38317,41356,22409,19813
598,22758,38851,38363,39455,43486,22758,38851,38363
599,23521,21041,39958,41721,41723,23521,21041,39958
600,18977,916,23182,23400,20335,18977,916,23182
601,22940,1475,22653,41577,40996,22940,1475,22653
602,41334,41271,22159,22156,41639,41334,41271,22159
603,21436,40739,39394,1925,41955,21436,40739,39394
604,41364,41376,41378,20079,41540,41364,41376,41378
605,24137,20340,40986,40025,43590,24137,20340,40986
606,22970,20670,1828,23055,40019,22970,20670,1828
607,41569,19405,41371,25433,2069,41569,19405,41371
608,1729,1427,22044,40827,40684,1729,1427,22044
609,38060,1434,41254,41565,43311,38060,1434,41254
611,39696,23116,22851,23226,18363,39696,23116,22851
613,40154,41234,38832,22412,20488,40154,41234,38832
614,0,0,0,0,0,0,0,0
615,0,0,0,0,0,0,0,0
616,22803,41298,41193,41492,19444,22803,41298,41193
617,23802,24121,41118,24082,41475,23802,24121,41118
619,19312,20393,42424,42423,43469,19312,20393,42424
620,38759,41394,40748,42464,42466,38759,41394,40748
651,40228,39698,1437,2115,41527,40228,39698,1437
736,24861,25344,28108,23849,22869,24861,25344,28108
742,28046,40751,22837,40834,40034,28046,40751,22837
745,27447,22709,2099,27698,1488,27447,22709,2099
751,23361,20070,20692,22919,41049,23361,20070,20692
753,1284,41583,22519,41584,41398,1284,41583,22519
754,41609,23118,23098,23114,40772,41609,23118,23098
755,40957,41216,23701,40776,25088,40957,41216,23701
756,33373,37118,37944,21614,21806,33373,37118,37944
757,20035,38451,20552,25596,425,20035,38451,20552
758,19466,583,23808,38116,27383,19466,583,23808
785,24745,40909,24588,20574,24644,24745,40909,24588
792,1525,22532,38438,240,1465,1525,22532,38438
793,41605,405,21601,407,41538,41605,405,21601
794,41139,22443,42048,19435,39947,41139,22443,42048
795,38294,22501,41138,20332,41875,38294,22501,41138
796,24911,41466,22631,41505,1585,24911,41466,22631
797,1727,38708,22523,41943,40937,1727,38708,22523
798,41745,40309,25606,28422,40356,41745,40309,25606
799,0,0,0,0,0,0,0,0
800,0,0,0,0,0,0,0,0
809,38905,1183,39643,41741,28500,38905,1183,39643
812,41300,41270,22849,28260,41113,41300,41270,22849
813,41462,41058,41069,41458,38956,41462,41058,41069
814,25383,24586,2141,41386,28141,25383,24586,2141
815,25617,1652,20898,1923,1909,25617,1652,20898
816,2101,41344,19297,41010,41094,2101,41344,19297
